experiment,member,policy,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_fraction,mean_reward,std_reward
1,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.1,1.3333333730697632,0.9428090453147888
2,Kumi_Yunis,CnnPolicy,0.0005,0.99,32,1.0,0.1,0.1,22.0,1.4142135381698608
3,Kumi_Yunis,CnnPolicy,0.00025,0.99,32,1.0,0.1,0.1,20.66666603088379,1.6996731758117676
4,Kumi_Yunis,CnnPolicy,0.0001,0.95,32,1.0,0.1,0.1,0.0,0.0
5,Kumi_Yunis,CnnPolicy,0.0001,0.999,32,1.0,0.1,0.1,0.6666666865348816,0.942808985710144
6,Kumi_Yunis,CnnPolicy,0.0001,0.99,64,1.0,0.1,0.1,17.33333396911621,0.942808985710144
7,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,15.0,0.8164966106414795
8,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.1,0.2,9.0,2.8284270763397217
9,Kumi_Yunis,CnnPolicy,0.0001,0.99,32,1.0,0.02,0.25,0.0,0.0
10,Kumi_Yunis,CnnPolicy,5e-05,0.995,64,1.0,0.05,0.15,20.33333396911621,1.247219204902649
